Question,Answer,Category
"Can I have a Small Account in ABC Bank as per the  Government of India Notification No.14/2010/F.No.6/2/2007-E.S. dated December  16, 20 Can I have additionally a 'Basic Savings Bank Deposit Account?","No, the BSBDA customer cannot have any other savings bank account in the same bank. If 'Basic Savings Bank Deposit Accountí is opened on the basis of simplified KYC norms, the account would additionally be treated as a 'Small Account' and would be subject to conditions stipulated for such accounts as indicated in our circulars RPCD.CO.RCB.AML.BC.No.63/07.40.00/2010-11 dated April 26, 2011 and RPCD.CO.RRB.AML.BC.No.15/03.05.33(E)/2011-12 dated August 8, 2011 on 'Opening of Small Account.'",Basic Savings Bank Deposit Account
What are the conditions stipulated for accounts which  are additionally to be treated as BSBDA-Small Account?,"As notified in terms of Govt. of India notification dated December 16, 2010, BSBDA-Small Accounts would be subject to the following conditions: 
i. Total credits in such accounts should not exceed one lakh rupees in a year. 
ii. Maximum balance in the account should not exceed fifty thousand rupees at any time
iii. The total of debits by way of cash withdrawals and transfers will not exceed ten thousand rupees in a month 
iv. Foreign remittances cannot be credited to Small Accounts without completing normal KYC formalities 
v. Small accounts are valid for a period of 12 months initially which may be extended by another 12 months if the person provides proof of having applied for an Officially Valid Document. 
vi. Small Accounts can only be opened at CBS linked branches of banks or at such branches where it is possible to manually monitor the fulfillments of the conditions",Basic Savings Bank Deposit Account
What kinds of services are available free in the 'Basic  Savings Bank Deposit Account?,The services available free in the 'Basic Savings Bank Deposit Accountí will include deposit and withdrawal of cash; receipt / credit of money through electronic payment channels or by means of deposit / collection of cheques at bank branches as well as ATMs.,Basic Savings Bank Deposit Account
"Is there requirement of any initial minimum deposit while opening a BSBDA as per the circular dated August 22, 2012?",There is no requirement for any initial deposit for opening a BSBDA.,Basic Savings Bank Deposit Account
Whether banks are free to offer more facilities than  those prescribed for Basic Savings Bank Deposit Account?,"Yes. However, the decision to allow services beyond the minimum prescribed has been left to the discretion of the banks who can either offer additional services free of charge or evolve requirements including pricing structure for additional value-added services on a reasonable and transparent basis to be applied in a non-discriminatory manner with prior intimation to the customers. Banks are required to put in place a reasonable pricing structure for value added services or prescribe minimum balance requirements which should be displayed prominently and also informed to the customers at the time of account opening. Offering such additional facilities should be non - discretionary, non-discriminatory and transparent to all ëBasic Savings Bank Deposit Accountí customers. However such accounts enjoying additional facilities will not be treated as BSBDAs.",Basic Savings Bank Deposit Account
"If BSBDA customers have more than 4 withdrawals and  request for cheque book at additional cost, will it cease to be a BSBDA?","Yes. However, if the bank does not levy any additional charges and offers more facilities free than those prescribed under BDBDA a/cs without minimum balance then such accounts can be classified as BSBDA.",Basic Savings Bank Deposit Account
Whether the existing facility available in a normal  saving bank account of five free withdrawals in a month in other banks ATMs as  per IBA (DPSS) instructions will hold good for BSBDA?,"No. In BSBDA, banks are required to provide free of charge minimum four withdrawals, through ATMs and other mode including RTGS/NEFT/Clearing/Branch cash withdrawal/transfer/internet debits/standing instructions/EMI etc. It is left to the banks to either offer free or charge for additional withdrawal/s. However, in case the banks decide to charge for the additional withdrawal, the pricing structure may be put in place by banks on a reasonable, non-discriminatory and transparent manner by banks.",Basic Savings Bank Deposit Account
Are the banks free to levy Annual ATM Debit Card  charges?,Banks should offer the ATM Debit Cards free of charge and no Annual fee should be levied on such Cards.,Basic Savings Bank Deposit Account
Whether Balance enquiry in ATMs also should be counted  within the four withdrawals permitted under BSBDA?,Balance enquiry through ATMs should not be counted in the four withdrawals allowed free of charge at ATMs.,Basic Savings Bank Deposit Account
"If a customer of BSBDA opts not to have ATM Debit card,  should the bank compel the customer to accept the ATM debit card ?",ATM debit cards may be offered at the time of opening BSBDA and issued if the customer requests for the same in writing. Banks need not force ATM debit cards on such customers.,Basic Savings Bank Deposit Account
What about customers who are illiterate or old who may  not be in a position to safe keep and use the ATM debit card and PIN associated with it?,"Banks while opening the BSBDA should educate such customers about the ATM Debit Card, ATM PIN and risk associated with it. However, if customer chooses not to have ATM Debit Card banks need not force ATM debit cards on such customers. If, however, customer opts to have an ATM Debit Card, banks should provide the same to BSBDA holders through safe delivery channels by adopting the same procedure which they have been adopting for delivery of ATM Debit Card and PIN to their other customers.",Basic Savings Bank Deposit Account
Whether Passbooks are also to be offered free to BSBDA  holders?,"Yes. BSBDA holders should be offered passbook facility free of charge in line with our instructions contained in circulars RPCD.CO.RF.BC.28/07.40.06/2006-07 dated October 11, 2006 and RPCD.CO.RRB.BC.No.29/03.05.28-A/2006-07 dated October 13, 2006.",Basic Savings Bank Deposit Account
"If a customer opens a BSBDA but does not close his existing  Savings Bank Account within 30 days, are banks then free to close such savings  bank accounts?",While opening the BSBDA customersí consent in writing be obtained that his existing non-BSBDA Savings Banks accounts will be closed after 30 days of opening BSBDA and banks are free to close such accounts after 30 days.,Basic Savings Bank Deposit Account
"In certain accounts to which disbursements under MGNREGA are made weekly, the number of withdrawals may be more than four in a month of five weeks. In such cases, can banks permit five withdrawals?","In BSBDA, banks are required to provide free of charge minimum four withdrawals, including through ATM and other mode. Beyond four withdrawals, it is left to discretion of the banks to either offer free or charge for additional withdrawal/s. However pricing structure may be put in place by banks on a reasonable, non-discretionary, non-discriminatory and transparent manner by banks.",Basic Savings Bank Deposit Account
What is the prescribed rate of interest payable on balances in such Basic Savings Bank Deposit Account?,"Our instructions contained in circular RPCD.CO.RRB.BC.No.57/03.05.33/2011-12 dated January 30, 2012 on Deregulation of Savings Bank Deposit Interest Rate, are applicable to deposits held in ëBasic Savings Bank Deposit Accountí.",Basic Savings Bank Deposit Account
"In terms of RBI circular, if payable at par  / multi-city cheques are issued to BSBDA customers based on their request,  can banks prescribe minimum balance requirements?",BSBDA does not envisage cheque book facility in the minimum facilities that it should provide to BSBDA customers. They are free to extend any additional facility including cheque book facility free of charge (in which case the account remains BSBDA) or charge for the additional facilities (in which case the account is not BSBDA).,Basic Savings Bank Deposit Account
What is the time frame available to banks for converting No-Frills Account as Basic Savings Bank Deposit Account? What is the time frame available to banks for issuing ATM Cards to all the existing Basic Savings Bank Deposit Account holders?,"All the existing 'No-Frill' accounts may be treated as BSBDA accounts from the date of the circular i.e., August 22, 2012 and banks may offer the prescribed facilities as per the circular such as issuing ATM card etc., to the existing ëNo-Frillí account holders as and when the customer approaches the bank. However, for customers opening new accounts after the issue of our circular should be provided with the prescribed facilities immediately on opening of the account.",Basic Savings Bank Deposit Account
Whether the normal saving bank account can be converted into BSBDA at the request of customer?,Yes. Such customers should give their consent in writing and they should be informed of the features and extent of services available in BSBDAs.,Card Transactions
What are various types  of cards?,"Cards can be classified on the basis of their issuance, usage and payment by the card holder. There are four types of cards:
(a) debit, 
(b) credit, 
(c) prepaid, 
and (d) electronic.",Card Transactions
Who issues these cards?,"Debit cards are issued by banks and are linked to a bank account. Credit cards are generally issued by banks and a couple of non-banks, but can also be issued by other approved entities. Prepaid cards are issued by banks / non-banks against the value paid in advance by the cardholder and stored in such cards which can be issued in the form of cards or wallets.",Card Transactions
What are the usages of  debit cards?,"The debit cards can be used to withdraw cash from an ATM, purchase of goods and services at points of sale (PoS) terminals or e-commerce (online purchase). While they can be used domestically, the international usage is also allowed if requested by the holder of the card. They can also be used for domestic funds transfer from one person to another subject to prescribed limits and conditions.",Card Transactions
What are the usages of  credit cards?,"The credit cards can be used for purchase of goods and services at PoS terminals / e-commerce. These cards can be used domestically and internationally (provided they are enabled for such use). The credit cards can also be used to withdraw cash from an ATM and for transferring funds to bank accounts, debit cards, credit cards and prepaid cards within the country, subject to prescribed limits and conditions.",Card Transactions
What are the usages of  prepaid cards?,"The usage of prepaid cards depends on who is the issuer of such cards. Prepaid cards can be open or semi-closed in nature and can be used to withdraw cash from an ATM, purchase of goods and services at PoS terminals / e-commerce and for domestic funds transfer from one person to another, subject to prescribed limits and conditions. While open system prepaid cards are issued by banks, semi-closed system prepaid cards can be issued by bank and non-bank entities.",Card Transactions
What  are electronic cards?,"Electronic cards can be considered as debit cards issued in specific overdraft accounts that are in the nature of personal loan without any specific end-use restrictions. Banks have been permitted to issue electronic cards to natural persons having overdraft accounts so as to enable domestic digital transactions in such accounts. For all purposes like security, Additional Factor of Authentication (AFA), Merchant Discount Rate (MDR), etc., the instructions relating to debit cards are applicable on such electronic cards as well.",Card Transactions
What are various methods  of using a card at a PoS terminal?,"A card can be swiped (Magnetic-Stripe card), dipped (Chip based card) or tapped (Contactless Near Field Communication {NFC} Card) at a PoS terminal.",Card Transactions
"What are Magnetic Stripe  cards, EMV Chip & PIN cards and Contactless NFC cards?","The Magnetic Stripe card stores card data on the magnetic stripe present on the card while the data in EMV Chip & PIN cards is stored in a chip on the card. In a Contactless NFC card, the card is read by keeping the card near the card reader. The EMV Chip & PIN cards and Contactless NFC cards are considered to be safer when compared to Magnetic Stripe cards.",Card Transactions
What are Card Present  (CP) and Card Not Present (CNP) transactions?,A CP transaction is a card transaction that is carried out through physical presence of card at the point of transaction. It is also known as face-to-face or a proximity payment transaction. An example is a transaction carried out at an ATM or a PoS terminal. A CNP transaction does not require the card to be physically presented at the point of transaction. It is also called as a remote transaction. An example is an online transaction or a mobile banking transaction using the card.,Card Transactions
Who decides the limits  for cash withdrawal or purchase of goods and services through a card?,"The limits on cash withdrawal at ATMs and for purchase of goods and services are decided by the card issuer. Cash withdrawal using debit cards and open system prepaid cards at PoS terminals has been allowed by Reserve Bank of India (RBI) whereby, a maximum of ?2000/- can be withdrawn daily per card. Cardholders can check with their issuers for details of such facilities provided by them, if any.",Card Transactions
Is there any way a customer can quickly come to know whether a  fraudulent transaction has taken place using her / his card?,"RBI has been taking various steps to ensure that the card payment environment is safe and secure. RBI has mandated issuers to send alerts for all card transactions so that a card holder is aware of transactions taking place on her / his card. In order to benefit from it, the cardholders are advised to register for SMS / e-mail alerts.",Card Transactions
How are the transactions carried out through cards protected  against fraudulent usage?,"All CP and CNP transactions on cards issued in India are secured with AFA. This AFA can be in any form and few commonly used forms are PIN, dynamic one-time password (OTP), static code, etc. The requirement of AFA is not mandatory for transactions where outflow of foreign exchange is contemplated. Similarly, in case of CP transactions (except ATM transactions) using NFC contactless technology, transactions for a maximum value of ?2,000/- per transaction are allowed to be undertaken without AFA requirement, subject to adherence to EMV standards.",Card Transactions
What are the liabilities of a card issuer in case of  fraudulent use of a card by an unauthorised person?,"In case of CNP transactions, RBI has mandated providing AFA for domestic transactions. If a transaction has taken place without AFA and the customer has complained that the transaction is not effected by her / him, the issuer bank shall reimburse the loss to the customer without demur. Further, liability of a customer in case of an unauthorised electronic transaction is limited as per the provisions of RBI circulars DBR.No.Leg.BC.78/09.07.005/2017-18 dated July 6, 2017, DCBR.BPD.(PCB/RCB).Cir.No.06/12.05.001/2017-18 dated December 14, 2017, and DPSS.CO.PD.No.1417/02.14.006/2018-19 dated January 4, 2019.",Card Transactions
What is Cheque Truncation?,"Truncation is the process of stopping the flow of the physical cheque issued by a drawer at some point by the presenting bank en-route to the paying bank branch. In its place an electronic image of the cheque is transmitted to the paying branch through the clearing house, along with relevant information like data on the MICR band, date of presentation, presenting bank, etc. Cheque truncation thus obviates the need to move the physical instruments across bank branches, other than in exceptional circumstances for clearing purposes. This effectively eliminates the associated cost of movement of the physical cheques, reduces the time required for their collection and brings elegance to the entire activity of cheque processing.",Cheque Truncation System
Why Cheque Truncation in India?,"Cheque Truncation speeds up the process of collection of cheques resulting in better service to customers, reduces the scope of loss of instruments in transit, lowers the cost of collection of cheques, and removes reconciliation-related and logistics-related problems, thus benefitting the system as a whole. 
With the other major products being offered in the form of RTGS and NEFT, the Reserve Bank has created the capability to enable inter-bank and customer payments online and in near-real time. However, cheques continue to be the prominent mode of payments in the country. Reserve Bank of India has therefore decided to focus on improving the efficiency of the cheque clearing cycle. Offering Cheque Truncation System (CTS) is a step in this direction. 
In addition to operational efficiency, CTS offers several benefits to banks and customers, including human resource rationalisation, cost effectiveness, business process re-engineering, better service, adoption of latest technology, etc. CTS, thus, has emerged as an important efficiency enhancement initiative undertaken by Reserve Bank in the Payments Systems arena.",Cheque Truncation System
What is the status of CTS  implementation in the country?,"CTS has been implemented in New Delhi, Chennai and Mumbai with effect from February 1, 2008, September 24, 2011 and April 27, 2013 respectively. After migration of the entire cheque volume from MICR system to CTS, the traditional MICR-based cheque processing has been discontinued across the country.",Cheque Truncation System
What are the benefits of Grid Based  CTS over Speed Clearing to the customer?,"Even though Speed clearing hastens the process of cheque collection as compared to outstation cheque collection, it requires the presence of the paying bank branch in the clearing house location. In comparison, grid-based CTS, is a superior system as it encompasses a larger geographical area and the chances of paying bank not having presence in the grid location is seldom. 
Under grid-based Cheque Truncation System clearing, all cheques drawn on bank branches falling within in the grid jurisdiction are treated and cleared as local cheques. Cheque collection charges including Speed Clearing Charges should not be levied if the collecting bank and the paying bank are located within the jurisdiction of the same CTS grid even though they are located in different cities.",Cheque Truncation System
Is it possible to briefly explain  the entire process flow in CTS?,"In CTS, the presenting bank (or its branch) captures the data (on the MICR band) and the images of a cheque using their Capture System (comprising of a scanner, core banking or other application) which is internal to them, and have to meet the specifications and standards prescribed for data and images. 
To ensure security, safety and non-repudiation of data / images, end-to-end Public Key Infrastructure (PKI) has been implemented in CTS. As part of the requirement, the collecting bank (presenting bank) sends the data and captured images duly signed digitally and encrypted to the central processing location (Clearing House) for onward transmission to the paying bank (destination or drawee bank). For the purpose of participation the presenting and paying banks are provided with an interface / gateway called the Clearing House Interface (CHI) that enables them to connect and transmit data and images in a secure and safe manner to the Clearing House (CH). 
The Clearing House processes the data, arrives at the settlement figure and routes the images and requisite data to the paying banks. This is called the presentation clearing. The paying banks through their CHIs receive the images and data from the Clearing House for payment processing. 
The paying bankís CHIs also generates the return file for unpaid instruments, if any. The return file / data sent by the paying banks are processed by the Clearing House in the return clearing session in the same way as presentation clearing and return data is provided to the presenting banks for processing. 
The clearing cycle is treated as complete once the presentation clearing and the associated return clearing sessions are successfully processed. The entire essence of CTS technology lies in the use of images of cheques (instead of the physical cheques) for payment processing.",Cheque Truncation System
What type of instruments  can be presented for clearing through CTS?,"Only CTS 2010 compliant instruments can be presented for clearing through CTS. The separate non-CTS clearing sessions in CTS grid centres was discontinued with effect from December 31, 2018.",Cheque Truncation System
Will there be any change in the  process for the customers?,"No. There is no major change in the clearing process for customers. Customers continue to use cheques as at present, except to ensure the use of image-friendly-coloured-inks while writing the cheques. Of course, such of those customers, who are used to receiving the paid instruments (like government departments) would also receive the cheque images. Cheques with alterations in material fields (explained in detail later) are not allowed to be processed under the CTS environment.",Cheque Truncation System
What are the benefits of CTS to  customers of banks?,"Benefits of CTS to customer of banks:

Shorter clearing cycle. 
Superior verification and reconciliation process. 
No geographical restrictions as to jurisdiction. 
Operational efficiency for banks and customers alike. 
Reduction in operational risk and risks associated with paper clearing. 
No collection charges for collection of cheque drawn on a bank located within the grid.",Cheque Truncation System
What are the benefits of Grid Based CTS to the banking system?,"Grid based CTS provides significant cost savings. Consolidation of clearing locations into a few grids minimise the investment in MICR machines and the related AMC costs. Banks will benefit from economies of scale as the grid CTS obviates the need for establishing inward cheque processing infrastructure at various clearing locations. With the merger of many local clearing houses with CTS grids, the settlements which were earlier spread across numerous clearing house locations have been subsumed into a single settlement, thereby significantly reducing the liquidity requirements for the banks. 
CTS will also result in other benefits in terms of reduction in the cheque processing fee, reduction in operational overhead, elimination of clearing differences and reconciliation issues etc.",Cheque Truncation System
"If a customer desires to see the physical cheque issued by  him for any reason, what are the options available?","Under CTS the physical cheques are retained at the presenting bank and do not move to the paying banks. In case a customer desires, banks can provide images of cheques duly certified/authenticated. In case, however, a customer desires to see / get the physical cheque, it would need to be sourced from the presenting bank, for which a request has to be made to his/her bank. An element of cost / charge may also be involved for the purpose. To meet legal requirements, the presenting banks which truncate the cheques need to preserve the physical instruments for a period of 10 years.",Cheque Truncation System
How would be the uniqueness of a physical cheque be captured  and imparted to the cheque image?,"CTS in India mandates the use of prescribed image specifications only. Images that do not meet the specifications are rejected. As the payments are made on the basis of the images, it is essential to ensure the quality of the images. To ensure only images of requisite quality move in the CTS processing cycle, there is a rigorous quality check process at the level of the Capture Systems and the Clearing House Interface (of the presenting bank). 
The solution encompasses Image Quality Assessment (IQA) at different levels. The presenting bank is required to perform the IQA during the capture itself. Further IQA is done at the gateway before onward transmission to clearing house. The images are captured with digital signatures of the presenting bank and thereafter transmitted to the paying banks through the Clearing House. Further, the paying banks, if not satisfied with the image quality or for any other reason, can demand for the physical instrument before making payment of the instrument. 
Further, the new cheque standard ""CTS-2010"" prescribes certain mandatory and optional security features to be available on cheques, which will also add to the uniqueness of the images.",Cheque Truncation System
What are the image specifications in CTS in the Indian  context?,"Imaging of cheques can be based on various technology options. The cheque images can be Black & White, Gray Scale or Coloured. These have their associated advantages and disadvantages. Black & White images are light in terms of image-size, but do not reveal all the subtle features that are there in the cheques. Coloured images are ideal but increase storage and network bandwidth requirements. Gray Scale images are mid-way. CTS in India use a combination of Gray Scale and Black & White images. There are three images of each cheques that need to be taken - front Gray Scale, front Black & White and back Black & White.",Cheque Truncation System
How are the images of cheques taken?,"Images of cheques are taken using specific scanners. Scanners also function like photo-copiers by reflecting the light passed through a narrow passage on to the document. Tiny sensors measure the reflection from each point along the strip of light. Reflectance measurements of each dot are called a pixel. Images are classified as black and white, gray-scale or colour based on how the pixels are converted into digital values. For getting a gray scale image the pixels are mapped onto a range of gray shades between black and white. The entire image of the original document gets mapped as some shade of gray, lighter or darker, depending on the colour of the source. In the case of black and white images, such mapping is made only to two colours based on the range of values of contrasts. A black and white image is also called a binary image.",Cheque Truncation System
How the image and data transmitted over the network is  secured?,"The security, integrity, non-repudiation and authenticity of the data and image transmitted from the presenting bank to the paying bank through Clearing House are ensured using the Public Key Infrastructure (PKI). CTS is compliant to the requirements of the IT Act, 2000. It has been made mandatory for the presenting bank to sign the images and data from the point of origin itself. PKI is used throughout the entire cycle covering capture system, the presenting bank, the clearing house and the paying bank. The PKI standards used are in accordance with the appropriate Indian acts and notifications of Controller of Certifying Authority (CCA).",Cheque Truncation System
What is Cheque Standardisation and what does CTS 2010 Standard mean?,"Standardisation of cheque forms (leaves) in terms of size, MICR band, quality of paper, etc., was one of the key factors that enabled mechanisation of cheque processing. Over a period of time, banks have added a variety of patterns and design of cheque forms to aid segmentation, branding, identification, etc., as also incorporated therein a number of security features to reduce the incidence of cheque misuse, tampering, alterations, etc. Growing use of multi-city and payable-at-par cheques for handling of cheques at any branches of a bank, introduction of Cheque Truncation System (CTS), increasing popularity of Speed Clearing, etc., were a few aspects that led to prescription of certain common minimum security features in cheques printed, issued and handled by banks and customers uniformly across the banking industry. 
Accordingly, certain benchmarks towards achieving standardisation of cheques issued by banks across the country have been prescribed like ñ quality of paper, watermark, bankís logo in invisible ink, void pantograph, etc., and standardisation of field placements on cheques. In addition, certain desirable features have also been suggested to be implemented by banks based on their need and risk perception. 
The set of minimum security features would not only ensure uniformity across all cheque forms issued by banks in the country but also help presenting banks while scrutinising / recognising cheques of paying banks in an image-based processing scenario. The homogeneity in security features is expected to act as a deterrent against cheque frauds, while the standardisation of field placements on cheque forms would enable straight-through-processing by use of optical / image character recognition technology. The benchmark prescriptions are collectively known as ""CTS-2010 standard"". 
All banks providing cheque facility to their customers have been advised to issue only 'CTS-2010' standard cheques. Cheques not complying with CTS-2010 standards will not be cleared through CTS clearing (updated as on June 30, 2020).",Cheque Truncation System
What is the prescription relating to alterations /  corrections on cheque forms?,"The prescription on prohibiting alterations / corrections on cheques has been introduced to curtail cheque related frauds. No changes / corrections can be carried out on the cheques (other than for date validation purposes, if required). For any change in the payeeís name, courtesy amount (amount in figures) or legal amount (amount in words), fresh cheque leaves should be used by customers. This would help banks in identifying and controlling fraudulent alterations. This prohibition is applicable to cheques cleared under the image based Cheque Truncation System (CTS) only. It is not applicable to cheques cleared under physical exchange of instruments.",Cheque Truncation System
What are the precautions required to be taken by the banks /  customers to avoid frauds?,"Banks / Customers should use ""CTS 2010"" cheques which are not only image friendly but also have more security features. Customers may request/insist their banks for cheque forms that are compliant with the ""CTS 2010"" standard. They should preferably use image-friendly coloured inks while writing cheques and avoid any alterations / corrections thereon. Preferably, a new cheque leaf may be used in the event of any alterations / corrections as the cheque may be cleared through image based clearing system. 
Banks should exercise care while affixing stamps on the cheque forms, so that it does not interfere with the material portions such as date, payeeís name, amount and signature. The use of rubber stamps, etc, should not overshadow the clear appearance of these basic features in image. It is necessary to ensure that all essential elements of a cheque are captured in an image during the scanning process and banks / customers have to exercise appropriate care in this regard.",Cheque Truncation System
What is the definition of MSME?,"Enterprises engaged in the manufacture or production, processing or preservation of goods as specified below: A micro enterprise is an enterprise where investment in plant and machinery does not exceed Rs. 25 lakh; A small enterprise is an enterprise where the investment in plant and machinery is more than Rs. 25 lakh but does not exceed Rs. 5 crore; A medium enterprise is an enterprise where the investment in plant and machinery is more than Rs.5 crore but does not exceed Rs.10 crore. In case of the above enterprises, investment in plant and machinery is the original cost excluding land and building and the items specified by the Ministry of Small Scale Industries vide its notification No.S.O.1722(E) dated October 5, 2006. Enterprises engaged in providing or rendering of services and whose investment in equipment (original cost excluding land and building and furniture, fittings and other items not directly related to the service rendered or as may be notified under the MSMED Act, 2006 are specified below. A micro enterprise is an enterprise where the investment in equipment does not exceed Rs. 10 lakh; A small enterprise is an enterprise where the investment in equipment is more than Rs.10 lakh but does not exceed Rs. 2 crore; A medium enterprise is an enterprise where the investment in equipment is more than Rs. 2 crore but does not exceed Rs. 5 crore.","Micro, Small and Medium Enterprises"
What is the status of lending by banks to this  sector?,"Bankís lending to the Micro and Small enterprises engaged in the manufacture or production of goods specified in the first schedule to the Industries (Development and regulation) Act, 1951 and notified by the Government from time to time is reckoned for priority sector advances. However, bank loans up to Rs.5 crore per borrower / unit to Micro and Small Enterprises engaged in providing or rendering of services and defined in terms of investment in equipment under MSMED Act, 2006 are eligible to be reckoned for priority sector advances. Lending to Medium enterprises is not eligible to be included for the purpose of computation of priority sector lending. Detailed guidelines on lending to the Micro, Small and Medium enterprises sector are available in our Master Circular no. RPCD.MSME & NFS.BC.No.5/06.02.31/2013-14 dated July 1, 2013 . The Master circulars are issued by RBI, to banks, on various matters are available on RBI website www.rbi.org.in and updated in July each year.","Micro, Small and Medium Enterprises"
Whether retail and wholesale trade can be classified under MSME?,"The Ministry of Micro, Small and Medium Enterprises vide has allowed Udyam  registration for retail and wholesale trade. Detailed guidelines are available  in our.","Micro, Small and Medium Enterprises"
What is meant by Priority Sector Lending?,"Priority sector lending includes only those sectors as part of the priority  sector, that impact large sections of the population, the weaker sections and  the sectors which are employment-intensive such as agriculture, and Micro and  Small enterprises. Detailed guidelines on Priority Sector Lending are available in our and updated from time to time.","Micro, Small and Medium Enterprises"
Are there any targets prescribed for lending by banks to MSMEs?,"A sub-target of 5% of Adjusted Net Bank Credit (ANBC) or Credit Equivalent of Off-Balance Sheet Exposure  (CEOBE), whichever is higher, towards lending to the Micro-enterprises  under overall Priority Sector Lending has been prescribed for Domestic  commercial banks, Foreign banks with 20 branches and above, Regional Rural  Banks and Small Finance Banks.","Micro, Small and Medium Enterprises"
How do banks assess the working capital requirements of borrowers?,"Banks have been advised to put in place loan policies  governing extension of credit facilities for the MSE sector duly approved by  their Board of Directors (Refer ).  Banks have, however, been advised to sanction limits after proper appraisal of  the genuine working capital requirements of the borrowers keeping in mind their  business cycle and short-term credit requirement. As per Nayak Committee  Report, working capital limits to SSI units is computed on the basis of minimum  20% of their estimated turnover up to credit limit of Ç5 crore.","Micro, Small and Medium Enterprises"
